age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,jobEnc,maritalEnc,educationEnc,defaultEnc,housingEnc,loanEnc,contactEnc,monthEnc,poutcomeEnc,depositEnc
40,admin.,married,secondary,no,1535.0,yes,no,unknown,14.0,may,704,1,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
48,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14.0,may,760,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
60,retired,married,primary,no,1542.0,yes,no,unknown,14.0,may,930,1,-1,0,unknown,yes,5.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
40,technician,single,unknown,no,3652.0,yes,no,unknown,14.0,may,1028,2,-1,0,unknown,yes,9.0,2.0,3.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
57,technician,married,tertiary,no,-1.0,no,no,unknown,14.0,may,850,2,-1,0,unknown,yes,9.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
51,blue-collar,married,secondary,no,7180.0,yes,no,unknown,14.0,may,927,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,blue-collar,divorced,secondary,no,5291.0,yes,no,unknown,14.0,may,1423,3,-1,0,unknown,yes,1.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,blue-collar,married,secondary,no,1384.0,yes,no,unknown,15.0,may,1162,4,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
52,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,15.0,may,755,1,-1,0,unknown,yes,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
59,blue-collar,married,primary,no,320.0,yes,no,unknown,15.0,may,695,1,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
44,blue-collar,married,unknown,no,146.0,yes,no,unknown,15.0,may,483,1,-1,0,unknown,yes,1.0,1.0,3.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
49,unknown,married,primary,no,341.0,yes,yes,unknown,,may,520,2,-1,0,unknown,yes,11.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
40,services,married,primary,no,-9.0,yes,no,unknown,15.0,may,920,2,-1,0,unknown,yes,7.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,admin.,married,primary,no,-306.0,yes,no,unknown,15.0,may,500,1,-1,0,unknown,yes,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
44,technician,married,tertiary,,4580.0,yes,no,unknown,15.0,may,911,2,-1,0,unknown,yes,9.0,1.0,2.0,,1.0,0.0,2.0,8.0,3.0,1.0
60,services,single,primary,no,313.0,yes,no,unknown,15.0,may,920,2,-1,0,unknown,yes,7.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
29,management,married,tertiary,,10576.0,no,no,unknown,15.0,may,1224,2,-1,0,unknown,yes,4.0,1.0,2.0,,0.0,0.0,2.0,8.0,3.0,1.0
41,retired,divorced,primary,no,-233.0,yes,no,unknown,15.0,may,1156,2,-1,0,unknown,yes,5.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,blue-collar,married,primary,no,2453.0,yes,no,unknown,15.0,may,1052,1,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
42,technician,single,secondary,no,1364.0,yes,no,unknown,15.0,may,1867,6,-1,0,unknown,yes,9.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,services,single,unknown,no,281.0,yes,no,unknown,16.0,may,515,1,-1,0,unknown,yes,7.0,2.0,3.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
39,technician,married,tertiary,no,94.0,yes,yes,unknown,16.0,may,813,1,-1,0,unknown,yes,9.0,1.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
31,self-employed,single,tertiary,no,144.0,yes,no,unknown,16.0,may,676,1,-1,0,unknown,yes,6.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
26,blue-collar,married,secondary,no,246.0,yes,no,unknown,16.0,may,1143,3,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,blue-collar,married,secondary,no,92.0,yes,no,unknown,16.0,may,688,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
29,admin.,single,secondary,no,163.0,yes,yes,unknown,16.0,may,803,1,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
37,services,divorced,secondary,no,49.0,yes,no,unknown,,may,619,2,-1,0,unknown,yes,7.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
33,blue-collar,single,secondary,no,-416.0,yes,no,unknown,,may,767,2,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
24,technician,single,secondary,no,409.0,yes,no,unknown,,may,912,1,-1,0,unknown,yes,9.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
50,admin.,divorced,secondary,no,363.0,yes,no,unknown,16.0,may,1340,1,-1,0,unknown,yes,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
27,technician,single,tertiary,no,3706.0,yes,no,unknown,,may,897,1,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
54,management,single,tertiary,no,4393.0,yes,no,unknown,16.0,may,1297,3,-1,0,unknown,yes,4.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,technician,single,secondary,no,863.0,yes,no,unknown,,may,1193,5,-1,0,unknown,yes,9.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
34,blue-collar,married,primary,no,695.0,yes,yes,unknown,16.0,may,1064,4,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
37,management,single,secondary,,792.0,yes,no,unknown,16.0,may,1187,4,-1,0,unknown,,4.0,2.0,1.0,,1.0,0.0,2.0,8.0,3.0,
41,admin.,single,secondary,no,1020.0,yes,no,unknown,19.0,may,882,1,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
47,blue-collar,married,secondary,no,863.0,yes,no,unknown,,may,943,2,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,admin.,married,secondary,no,97.0,yes,no,unknown,19.0,may,607,1,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,blue-collar,married,secondary,no,754.0,yes,no,unknown,19.0,may,1022,4,-1,0,unknown,,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,
43,services,divorced,secondary,no,1040.0,yes,no,unknown,19.0,may,552,3,-1,0,unknown,yes,7.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
37,management,divorced,tertiary,no,122.0,yes,no,unknown,19.0,may,1622,2,-1,0,unknown,yes,4.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,technician,single,tertiary,no,880.0,yes,yes,unknown,,may,967,6,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
41,technician,married,secondary,no,501.0,yes,no,unknown,19.0,may,579,5,-1,0,unknown,yes,9.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,blue-collar,married,secondary,,4438.0,yes,no,unknown,20.0,may,446,1,-1,0,unknown,yes,1.0,1.0,1.0,,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,20.0,may,1205,1,-1,0,unknown,yes,1.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
29,services,single,secondary,no,271.0,yes,no,unknown,20.0,may,1882,2,-1,0,unknown,yes,7.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,married,primary,no,102.0,yes,no,unknown,20.0,may,1334,1,-1,0,unknown,,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,
31,blue-collar,married,secondary,no,2.0,yes,no,unknown,,may,182,2,-1,0,unknown,,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,
26,blue-collar,married,secondary,no,246.0,yes,no,unknown,16.0,may,1143,3,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,blue-collar,married,secondary,no,92.0,yes,no,unknown,16.0,may,688,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,admin.,single,secondary,no,431.0,yes,yes,unknown,,may,1045,1,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
44,technician,divorced,secondary,no,982.0,yes,no,unknown,20.0,may,650,3,-1,0,unknown,yes,9.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,blue-collar,married,primary,no,408.0,yes,yes,unknown,,may,1063,2,-1,0,unknown,,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,
35,blue-collar,married,unknown,no,4822.0,yes,no,unknown,20.0,may,843,2,-1,0,unknown,yes,1.0,1.0,3.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,blue-collar,married,primary,no,1250.0,yes,no,unknown,,may,1392,2,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,blue-collar,single,primary,,216.0,yes,no,unknown,21.0,may,565,1,-1,0,unknown,yes,1.0,2.0,0.0,,1.0,0.0,2.0,8.0,3.0,1.0
34,blue-collar,married,secondary,,1207.0,yes,no,unknown,21.0,may,905,1,-1,0,unknown,,1.0,1.0,1.0,,1.0,0.0,2.0,8.0,3.0,
32,technician,married,secondary,no,791.0,yes,no,unknown,21.0,may,783,2,-1,0,unknown,yes,9.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,management,married,tertiary,,849.0,yes,yes,unknown,21.0,may,958,2,-1,0,unknown,yes,4.0,1.0,2.0,,1.0,1.0,2.0,8.0,3.0,1.0
30,blue-collar,single,secondary,yes,239.0,yes,no,unknown,21.0,may,412,1,-1,0,unknown,yes,1.0,2.0,1.0,1.0,1.0,0.0,2.0,8.0,3.0,1.0
37,technician,single,secondary,no,1211.0,yes,no,unknown,21.0,may,795,1,-1,0,unknown,yes,9.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,blue-collar,married,primary,no,599.0,yes,no,unknown,21.0,may,649,2,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,management,single,tertiary,no,825.0,yes,no,unknown,,may,506,2,-1,0,unknown,yes,4.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
27,technician,married,secondary,no,2183.0,yes,yes,unknown,21.0,may,857,1,-1,0,unknown,,9.0,1.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,
34,retired,married,primary,no,4499.0,no,no,unknown,21.0,may,1681,1,-1,0,unknown,yes,5.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
30,technician,single,tertiary,no,1289.0,yes,no,unknown,,may,1697,2,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
32,technician,single,tertiary,no,4665.0,yes,no,unknown,21.0,may,860,2,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
37,technician,single,secondary,,3326.0,yes,no,unknown,21.0,may,799,1,-1,0,unknown,yes,9.0,2.0,1.0,,1.0,0.0,2.0,8.0,3.0,1.0
32,blue-collar,married,secondary,no,783.0,yes,no,unknown,21.0,may,923,3,-1,0,unknown,,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,
33,blue-collar,married,secondary,,0.0,yes,no,unknown,21.0,may,521,3,-1,0,unknown,yes,1.0,1.0,1.0,,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,married,primary,no,994.0,yes,no,unknown,23.0,may,1349,8,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,self-employed,divorced,tertiary,no,1354.0,yes,no,unknown,23.0,may,736,2,-1,0,unknown,yes,6.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,blue-collar,single,secondary,no,239.0,yes,no,unknown,,may,785,1,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
45,blue-collar,divorced,primary,no,-311.0,yes,no,unknown,23.0,may,1030,1,-1,0,unknown,yes,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
45,admin.,married,secondary,no,149.0,yes,no,unknown,23.0,may,893,3,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
33,blue-collar,married,secondary,no,1464.0,yes,no,unknown,23.0,may,588,3,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
44,management,divorced,tertiary,no,5773.0,no,no,unknown,23.0,may,597,6,-1,0,unknown,yes,4.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
40,blue-collar,married,primary,no,278.0,yes,no,unknown,,may,1015,3,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,blue-collar,married,secondary,no,2910.0,yes,no,unknown,23.0,may,1392,2,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,technician,married,tertiary,no,541.0,yes,no,unknown,26.0,may,414,2,-1,0,unknown,yes,9.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
44,technician,divorced,secondary,,1262.0,yes,no,unknown,26.0,may,788,11,-1,0,unknown,,9.0,0.0,1.0,,1.0,0.0,2.0,8.0,3.0,
34,services,married,secondary,no,-538.0,yes,no,unknown,26.0,may,682,1,-1,0,unknown,yes,7.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
37,blue-collar,married,secondary,no,125.0,no,no,unknown,26.0,may,679,2,-1,0,unknown,yes,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
28,self-employed,single,tertiary,no,0.0,yes,no,unknown,26.0,may,1560,2,-1,0,unknown,yes,6.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
32,admin.,single,secondary,no,620.0,yes,no,unknown,26.0,may,1234,3,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
37,blue-collar,divorced,secondary,no,316.0,yes,no,unknown,26.0,may,642,2,-1,0,unknown,yes,1.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
34,management,married,tertiary,no,2287.0,yes,no,unknown,26.0,may,895,4,-1,0,unknown,yes,4.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
38,admin.,divorced,secondary,no,198.0,yes,no,unknown,26.0,may,431,2,-1,0,unknown,yes,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
28,admin.,single,secondary,no,460.0,yes,no,unknown,26.0,may,741,6,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,management,divorced,tertiary,no,1145.0,yes,no,unknown,26.0,may,1272,4,-1,0,unknown,yes,4.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
59,services,married,secondary,no,-22.0,yes,no,unknown,26.0,may,748,3,-1,0,unknown,yes,7.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
24,blue-collar,married,secondary,no,685.0,yes,no,unknown,26.0,may,896,3,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
26,services,single,secondary,no,901.0,yes,no,unknown,26.0,may,764,2,-1,0,unknown,yes,7.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
59,retired,single,secondary,no,351.0,yes,no,unknown,27.0,may,1063,5,-1,0,unknown,yes,5.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,entrepreneur,single,primary,no,0.0,yes,yes,unknown,27.0,may,1051,1,-1,0,unknown,yes,2.0,2.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
37,admin.,married,secondary,no,274.0,yes,no,unknown,27.0,may,731,3,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,admin.,single,secondary,no,-213.0,yes,yes,unknown,27.0,may,751,1,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
25,blue-collar,married,secondary,no,97.0,yes,no,unknown,27.0,may,709,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
44,services,divorced,secondary,no,51.0,yes,yes,unknown,27.0,may,3094,2,-1,0,unknown,yes,7.0,0.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
29,management,married,tertiary,no,314.0,no,no,unknown,28.0,may,938,2,-1,0,unknown,yes,4.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
26,management,single,tertiary,no,6840.0,yes,no,unknown,28.0,may,1560,2,-1,0,unknown,yes,4.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
26,technician,single,secondary,no,668.0,yes,no,unknown,28.0,may,576,3,-1,0,unknown,yes,9.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
27,services,single,secondary,no,54.0,yes,no,unknown,28.0,may,543,2,-1,0,unknown,yes,7.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
